科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
000211012,3.0,政治學,Political science,蔡中民,TSAI CHUNG-MIN,政治系,三234,wed09-12 wed 09 10 11,大勇210104,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:政治系優先。,
000213002,2.0,經濟學,Economics,王國樑、李為,WANG KUO-LIANG/LEE WEI-CHEN,經濟系,三78,wed16-18 wed 16 17,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:法律系學生優先,
000213012,2.0,經濟學,Economics,丁秀吟,DING HSIU-YIN,經濟系,三34,wed10-12 wed 10 11,大勇210201,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:地政系土管土資一學生優先,
000215012,3.0,貨幣銀行學,Money and Banking,方中柔,FANG CHUNG-ROU,經濟系,五234,fri09-12 fri 09 10 11,綜合270113,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000215022,3.0,貨幣銀行學,Money and Banking,林馨怡,LIN HSIN-YI,經濟系,一D56,mon13-16 mon 13 14 15,大勇210105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一次上課請務必出席,
000215032,3.0,貨幣銀行學,Money and Banking,蕭明福,SHAW MING-FU,經濟系,四D56,thu13-16 thu 13 14 15,大勇210106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2017/12/28;,＠備註Note:N/A,
000215042,3.0,貨幣銀行學,Money and Banking,賴廷緯,LAI TING-WEI,經濟系,五234,fri09-12 fri 09 10 11,綜合270412,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課,
000216001,3.0,社會學,Sociology,姜以琳,CHIANG YI-LIN,社會系,四D56,thu13-16 thu 13 14 15,大勇210205,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2018/01/17;,＠備註Note:N/A,
000217002,3.0,個體經濟學,Microeconomics,江品慧,CHIANG PIIN-HUEIH,經濟系,二234,tue09-12 tue 09 10 11,綜合270412,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程英語授課，另有實習課,
000217012,3.0,個體經濟學,Microeconomics,陳鎮洲,CHEN JENN-JOU,經濟系,三234,wed09-12 wed 09 10 11,資訊140306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課,
000217022,3.0,個體經濟學,Microeconomics,李慧琳,LEE HUEY-LIN,經濟系,一D56,mon13-16 mon 13 14 15,綜合270203,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課,
000217032,3.0,個體經濟學,Microeconomics,徐麗振,HSU LI-CHEN,經濟系,二D56,tue13-16 tue 13 14 15,綜合270415,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政系學生優先 ，實習課時間：二C。初選後不開放加選，採手動加簽。若無專業程度適合的研究生助理，則無實習課。加退選前累計缺,
000217042,3.0,個體經濟學,Microeconomics,黃柏鈞,HUANG PO-CHUN,經濟系,三D56,wed13-16 wed 13 14 15,大勇210105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課。,
000218002,3.0,總體經濟學,Macroeconomics,莊奕琦,CHUANG YIH-CHYI,經濟系,四D56,thu13-16 thu 13 14 15,綜合270309,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課，另有實習課時間,
000218022,3.0,總體經濟學,Macroeconomics,蕭明福,SHAW MING-FU,經濟系,四234,thu09-12 thu 09 10 11,研究250103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課,
000218042,3.0,總體經濟學,Macroeconomics,黃明聖,HWANG MING-SHENG,經濟系,二234,tue09-12 tue 09 10 11,大勇210104,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政系學生優先，本課程有實習課。,
000219002,3.0,經濟學,Economics,朱美麗,CHU MEI-LIE,經濟系,三234,wed09-12 wed 09 10 11,綜合270114,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:經濟一乙學生優先，本課程有實習課,
000219012,3.0,經濟學,Economics,朱美麗,CHU MEI-LIE,經濟系,四234,thu09-12 thu 09 10 11,綜合270751,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2017/12/05;,＠備註Note:經濟一甲學生優先，本課程有實習課,
000219032,3.0,經濟學,Economics,王信實,WANG SHINN-SHYR,經濟系,五234,fri09-12 fri 09 10 11,綜合270309,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課,
000219042,3.0,經濟學,Economics,陳心蘋,CHEN HSIN-PING,經濟系,四D56,thu13-16 thu 13 14 15,大智190305,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:外交及資管系學生優先，實習課時間：一C,
000219062,3.0,經濟學,Economics,林祖嘉,LIN CHU-CHIA,經濟系,二234,tue09-12 tue 09 10 11,綜合270315,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:公行系學生優先,
000219082,3.0,經濟學,Economics,廖郁萍,LIAO YU-PING,經濟系,五234,fri09-12 fri 09 10 11,大仁200101,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000219112,3.0,經濟學,Economics,彭喜樞,Peng Shi Shu,經濟系,三D56,wed13-16 wed 13 14 15,綜合270114,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政一乙學生優先，本課程有實習課。,
000219122,3.0,經濟學,Economics,黃智聰,HUANG JR-TSUNG,經濟系,一D56,mon13-16 mon 13 14 15,綜合270114,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政一甲學生優先，本課程有實習課。,
000219512,3.0,經濟學,Economics,吳文傑,WU WEN-CHIEH,國貿系,一D56,mon13-16 mon 13 14 15,大勇210103,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:ETP優先，英語授課。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。,
000219522,3.0,經濟學,Economics,郭炳伸,KUO BIING-SHEN,國貿系,一567,mon14-17 mon 14 15 16,寶來國際廳,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:外語學程優先。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。,
000219532,3.0,經濟學,Economics,林信助,LIN SHINN-JUH,國貿系,二234,tue09-12 tue 09 10 11,大勇210103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,"＠備註Note:貿一甲,會一乙,企一甲優先。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。",
000219542,3.0,經濟學,Economics,鄭鴻章,CHENG HUNG-CHANG,國貿系,二234,tue09-12 tue 09 10 11,大智190101,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,"＠備註Note:貿一乙,企一乙,財管系優先。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。",
000219552,3.0,經濟學,Economics,饒秀華,RAU HSIU-HUA,國貿系,三234,wed09-12 wed 09 10 11,研究250105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會一甲優先。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。,
000219562,3.0,經濟學,Economics,荒井夏來,ARAI NATSUKI,國貿系,三D56,wed13-16 wed 13 14 15,商館260205,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。,
000219572,3.0,經濟學,Economics,廖四郎,LIAO SZU-LANG,國貿系,三D56,wed13-16 wed 13 14 15,商館260106,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:金融系優先。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。下學期授課教師:廖四郎,
000219582,3.0,經濟學,Economics,溫偉任,WEN WEI-JEN,國貿系,五234,fri09-12 fri 09 10 11,綜合270415,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:統計系，風管系優先。107.6.23上午舉行會考，修課學生皆須參加會考，無法參加同學請勿修讀。,
000221002,3.0,財政學,Public Finance,黃智聰,HUANG JR-TSUNG,財政系,二D56,tue13-16 tue 13 14 15,綜合270103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000221012,3.0,財政學,Public Finance,陳國樑,CHEN JOE,財政系,三234,wed09-12 wed 09 10 11,大智190305,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:經濟系優先/建議先修過微積分,
000221022,3.0,財政學,Public Finance,徐麗振,HSU LI-CHEN,財政系,一D56,mon13-16 mon 13 14 15,綜合270211,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政系優先/財二必修/非財政系學生強烈建議先修過微積分。,
000221032,3.0,財政學,Public Finance,陳香梅,CHEN SHINEMAY,財政系,二234,tue09-12 tue 09 10 11,大智190305,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:財政系優先/財二必修/非財政系之學生，強烈建議先修過微積分,
000224001,3.0,行政學,Public,黃東益,HUANG TONG-YI,公行系,三234,wed09-12 wed 09 10 11,綜合270751,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000225002,3.0,社會學,Sociology,馬藹萱,MA AI-HSUAN,社會系,二123,tue08-11 tue 08 09 10,綜合270751,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教室異動於2017/12/18;,＠備註Note:本課程有TA討論課二4，社會系大一及雙修必修課，初選系統自動轉檔「社會學實習課」。,
000225012,3.0,社會學,Sociology,陳宗文,CHEN TZUNG-WEN,社會系,三234,wed09-12 wed 09 10 11,綜合270415,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:社會系輔系生課程。,
000226021,3.0,政治學,Political science,韋洪武,WEI HUNG-WU,政治系,四D56,thu13-16 thu 13 14 15,大勇210202,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000227001,3.0,國際關係,International,蘇卓馨,SU CHO-HSIN,外交系,二D56,tue13-16 tue 13 14 15,綜合270751,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000227011,3.0,國際關係,International,楊文琪,YANG WEN-CHI,外交系,一D56,mon13-16 mon 13 14 15,大勇210202,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000304011,3.0,軟體應用導論,Software Application,林湘霖,LIN SHIANG LIN,資管系,五234,fri09-12 fri 09 10 11,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000304021,3.0,軟體應用導論,Software Application,林仁祥,Lin Ren Xiang,資管系,三EFG,wed18-21 wed 18 19 20,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000305001,3.0,資料處理,Data Processing,尚孝純,SHANG SHIAW-CHUN,資管系,三D56,wed13-16 wed 13 14 15,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000305011,3.0,資料處理,Data Processing,杜雨儒,TU YU-JU,資管系,二D56,tue13-16 tue 13 14 15,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:時間異動於2018/01/23;,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000305021,3.0,資料處理,Data Processing,杜雨儒、張欣,TU YU-JU/CHANG HSIN-LU,資管系,四D56,thu13-16 thu 13 14 15,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000305031,3.0,資料處理,Data Processing,周彥君、莊皓,CHOU YEN-CHUN/CHUANG HAO-,資管系,四234,thu09-12 thu 09 10 11,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000305041,3.0,資料處理,Data Processing,林湘霖,LIN SHIANG LIN,資管系,五567,fri14-17 fri 14 15 16,資管電腦室,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2018/01/23;,＠備註Note:資管系同學修習不計入畢業學分。在逸仙樓五樓資管系電腦教室(0502教室)上課。,
000314011,3.0,初級會計學（,Fundamental,林良楓、諶家,LIN LIANG-FENG/SENG JIA-LANG,會計系,二234,tue09-12 tue 09 10 11,商館260311,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,
000318001,3.0,初級會計學（,Fundamental,梁嘉紋,LIANG JIA-WEN,會計系,三234,wed09-12 wed 09 10 11,學思040103,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），風管一,
000318011,3.0,初級會計學（,Fundamental,張祐慈、陳宇,CHANG YU-TZU/CHEN YU SHEN,會計系,一D56,mon13-16 mon 13 14 15,商館260105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），企管一甲,
000318021,3.0,初級會計學（,Fundamental,張祐慈、陳宇,CHANG YU-TZU/CHEN YU SHEN,會計系,一EFG,mon18-21 mon 18 19 20,商館260105,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），資管一甲。,
000318031,3.0,初級會計學（,Fundamental,何怡澄,HO YI-CHENG,會計系,二234,tue09-12 tue 09 10 11,研究250103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一） ，財政一甲，實習課二1。,
000318041,3.0,初級會計學（,Fundamental,何怡澄,HO YI-CHENG,會計系,三234,wed09-12 wed 09 10 11,研究250103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），財政一乙，實習課三1,
000318051,3.0,初級會計學（,Fundamental,張祐慈、陳宇,CHANG YU-TZU/CHEN YU SHEN,會計系,三234,wed09-12 wed 09 10 11,商館260105,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），統計二。,
000318061,3.0,初級會計學（,Fundamental,潘健民,PAN CHIEN-MIN,會計系,三234,wed09-12 wed 09 10 11,商館260205,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），英語授課，ETP優先,
000318071,3.0,初級會計學（,Fundamental,郭弘卿,KUO HORNG-CHING,會計系,三D56,wed13-16 wed 13 14 15,資訊140206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），財管一。,
000318081,3.0,初級會計學（,Fundamental,張祐慈、陳宇,CHANG YU-TZU/CHEN YU SHEN,會計系,三78E,wed16-19 wed 16 17 18,商館260105,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），ETP優先，英語授課。,
000318091,3.0,初級會計學（,Fundamental,林禹銘,LIN I-MIN,會計系,三EFG,wed18-21 wed 18 19 20,大勇210206,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），資管一乙,
000318101,3.0,初級會計學（,Fundamental,田耕銘,TIEN KENG-MING,會計系,四234,thu09-12 thu 09 10 11,研究250105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:教師異動於2018/01/08;,＠備註Note:擋修初會（一），授課老師為田耕銘老師,
000318111,3.0,初級會計學（,Fundamental,郭弘卿,KUO HORNG-CHING,會計系,四D56,thu13-16 thu 13 14 15,資訊140206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一）  ，國貿一甲，不開放加簽。,
000318121,3.0,初級會計學（,Fundamental,廖柏蒼,Liau Bo-Tsang,會計系,四D56,thu13-16 thu 13 14 15,學思040103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），國貿一乙,
000318131,3.0,初級會計學（,Fundamental,廖柏蒼,Liau Bo-Tsang,會計系,四EFG,thu18-21 thu 18 19 20,商館260306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），企管一乙,
000318141,3.0,初級會計學（,Fundamental,戚務君,CHI WU-CHUN,會計系,五234,fri09-12 fri 09 10 11,學思040103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修初會（一），金融一,
000321012,3.0,統計學,Statistics,薛慧敏,HSUEH HUEY-MIIN,統計系,二234,tue09-12 tue 09 10 11,資訊140401,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為四、78，實習課衝堂者不得選修。統計系學生優先。,
000321022,3.0,統計學,Statistics,江振東,CHIANG JENG-TUNG,統計系,二234,tue09-12 tue 09 10 11,資訊140306,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為四、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321032,3.0,統計學,Statistics,陳麗霞,CHEN LI-SHYA,統計系,二234,tue09-12 tue 09 10 11,研究250101,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為四、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321042,3.0,統計學,Statistics,劉惠美,LIU HUI-MEI,統計系,二234,tue09-12 tue 09 10 11,商館260207,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為四、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321052,3.0,統計學,Statistics,鄭宗記,CHENG TSUNG-CHI,統計系,二D56,tue13-16 tue 13 14 15,學思040103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為四、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321062,3.0,統計學,Statistics,周珮婷,CHOU PEI-TING,統計系,四D56,thu13-16 thu 13 14 15,研究250103,必/Required,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:英語授課。實習課為二、78，實習課衝堂者不得選修。商院ETP學生及外籍生優先。,
000321072,3.0,統計學,Statistics,鄭天澤,JENG TIAN-TZER,統計系,三EFG,wed18-21 wed 18 19 20,研究250105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為二、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321082,3.0,統計學,Statistics,楊素芬,YANG SU-FEN,統計系,四234,thu09-12 thu 09 10 11,商館260207,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為二、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321092,3.0,統計學,Statistics,陳麗霞,CHEN LI-SHYA,統計系,四234,thu09-12 thu 09 10 11,研究250206,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為二、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321102,3.0,統計學,Statistics,洪英超,HUNG YING-CHAO,統計系,二D56,tue13-16 tue 13 14 15,資訊140401,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為四、78，實習課衝堂者不得選修。商院各系及經濟系學生優先。,
000321112,3.0,統計學,Statistics,蔡紋琦,TSAI WEN-CHI,統計系,四D56,thu13-16 thu 13 14 15,商館260207,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為二、78，實習課衝堂者不得選修。商學各系及經濟系學生優先。,
000321122,3.0,統計學,Statistics,丁兆平,TING CHAO-PING,統計系,四D56,thu13-16 thu 13 14 15,研究250105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:實習課為二、78，實習課衝堂者不得選修。商學各系及經濟系學生優先。,
000327011,3.0,中級會計學（,Intermediate,陳錦烽,CHEN JIIN-FENG,會計系,二D56,tue13-16 tue 13 14 15,商館260105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修中會（一），會輔學生修習本課程需繳學分費,
000327021,3.0,中級會計學（,Intermediate,潘健民,PAN CHIEN-MIN,會計系,四234,thu09-12 thu 09 10 11,商館260205,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修中會（一） ，會輔學生修習本課程需繳學分費  。,
000346011,3.0,成本管理會計（,Cost and,梁嘉紋,LIANG JIA-WEN,會計系,一D56,mon13-16 mon 13 14 15,研究250105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修成會（一），會二乙。實習課 二78     會輔學生修習本課程需繳學分費,
000346021,3.0,成本管理會計（,Cost and,王文英,WANG WEN-YING,會計系,四234,thu09-12 thu 09 10 11,學思040202,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:會二甲，擋修成會（一），限必修學生。  會輔學生修習本課程需繳學分費,
000346031,3.0,成本管理會計（,Cost and,王文英,WANG WEN-YING,會計系,四D56,thu13-16 thu 13 14 15,學思040202,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:擋修成會(一)。與010111011合開，會輔學生選此課程仍須繳交學分費 。,
000347001,3.0,財務管理,Financial,蔡政憲,TSAI CHENG-HSIEN,財管系,一D56,mon13-16 mon 13 14 15,學思040103,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年，風管二優先,
000347011,3.0,財務管理,Financial,林基煌,LIN CHI-HUANG,財管系,二EFG,tue18-21 tue 18 19 20,綜合270113,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年，英語授課,
000347021,3.0,財務管理,Financial,黃慶堂,HUANG CHIN-TAN,財管系,二8EF,tue17-20 tue 17 18 19,商館260206,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年，企二甲優先。,
000347031,3.0,財務管理,Financial,盧敬植,LU CHING-CHIH,財管系,四D56,thu13-16 thu 13 14 15,學思040302,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年，英語授課,
000347041,3.0,財務管理,Financial,屠美亞,TWU MIA,財管系,三234,wed09-12 wed 09 10 11,資訊140301,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年，企二乙優先。,
000347051,3.0,財務管理,Financial,陳聖賢,Chen Sheng Syan,財管系,三D56,wed13-16 wed 13 14 15,商館260105,選/Elective,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學及初級會計學一學年,
000347061,3.0,財務管理,Financial,湛可南,CHAN KONAN,財管系,三234,wed09-12 wed 09 10 11,學思040202,選/Elective,英文/English,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修經濟學與初級會計學一學年，英語授課。外籍生請留意以下規定,
000348001,3.0,管理學,Management,林月雲,LIN YEH-YUN,企管系,三D56,wed13-16 wed 13 14 15,商館260311,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修企業概論。企一甲專班。,
000348011,3.0,管理學,Management,傅浚映,FU JYUN-YING,企管系,三234,wed09-12 wed 09 10 11,學思040303,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修企業概論。企一乙專班。,
000348021,3.0,管理學,Management,曾威智,TSENG WEI-CHIH,企管系,三D56,wed13-16 wed 13 14 15,學思040103,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348031,3.0,管理學,Management,翁浩邁,WENG CHENG-CHUAN,企管系,四EFG,thu18-21 thu 18 19 20,商館260312,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348041,3.0,管理學,Management,詳備註,Ref. Note,企管系,三D56,wed13-16 wed 13 14 15,研究250105,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:時間異動於2018/01/08;,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。授課老師：許惇惠,
000348051,3.0,管理學,Management,周文卿,CHOU WEN-CHING,企管系,一D56,mon13-16 mon 13 14 15,學思040104,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348061,3.0,管理學,Management,林芝樺,LIN CHIH HUA,企管系,一EFG,mon18-21 mon 18 19 20,商館260205,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348071,3.0,管理學,Management,林智偉,LIN CHIH-WEI,企管系,二D56,tue13-16 tue 13 14 15,學思040104,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348081,3.0,管理學,Management,楊昇翰,YANG SHENG HAN,企管系,二EFG,tue18-21 tue 18 19 20,商館260311,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348091,3.0,管理學,Management,黃韋仁,HUANG WEI-JEN,企管系,一D56,mon13-16 mon 13 14 15,學思040205,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348101,3.0,管理學,Management,洪妤萱,HUNG YU-HSUAN,企管系,四D56,thu13-16 thu 13 14 15,,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:停開於2018/01/12;,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,
000348111,3.0,管理學,Management,詳備註,Ref. Note,企管系,三234,wed09-12 wed 09 10 11,資訊140407,必/Required,中文,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。 授課老師：郭曉玲,
000350001,3.0,行銷管理,Marketing,洪順慶,HORNG SHUN-CHING,企管系,三D56,wed13-16 wed 13 14 15,研究250305,必/Required,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:先修管理學和經濟學。企管二乙優先，第一堂課務必出席。,
